Company Name: Arigato Universe Ltd, Sector: Trading, Industry: Trading,
Company Name: Enbee Trade & Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Containerway International Ltd, Sector: Logistics, Industry: Miscellaneous,
Company Name: Bulkcorp International Ltd, Sector: Packaging, Industry: Packaging,
Company Name: Polylink Polymers (India) Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: Keerthi Industries Ltd, Sector: Cement, Industry: Cement - South India,
Company Name: Pace E-Commerce Ventures Ltd, Sector: E-Commerce/App based Aggregator, Industry: Trading,
Company Name: Golden Tobacco Ltd, Sector: Realty, Industry: Construction,
Company Name: Vistar Amar Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Meera Industries Ltd, Sector: Capital Goods-Non Electrical Equipment, Industry: Textile Machinery,
Company Name: Tarapur Transformers Ltd, Sector: Capital Goods - Electrical Equipment, Industry: Electric Equipment,
Company Name: Gogia Capital Growth Ltd, Sector: Stock/ Commodity Brokers, Industry: Finance & Investments,
Company Name: Futuristic Solutions Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Bombay Metrics Supply Chain Ltd, Sector: Trading, Industry: Trading,
Company Name: United Cotfab Ltd, Sector: Textiles, Industry: Textiles - Cotton/Blended,
Company Name: Rasandik Engineering Industries India Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Spectrum Foods Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Ravikumar Distilleries Ltd, Sector: Alcoholic Beverages, Industry: Breweries & Distilleries,
Company Name: Mena Mani Industries Ltd, Sector: Trading, Industry: Trading,
Company Name: Joindre Capital Services Ltd, Sector: Stock/ Commodity Brokers, Industry: Finance & Investments,
Company Name: Agni Green Power Ltd., Sector: Capital Goods - Electrical Equipment, Industry: Electric Equipment,
Company Name: Wires & Fabriks (S.A) Ltd, Sector: Textiles, Industry: Textiles - Products,
Company Name: Veeram Securities Ltd, Sector: Trading, Industry: Trading,
Company Name: Dhanlaxmi Cotex Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Rex Pipes & Cables Industries Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: Kapil Raj Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Ecoboard Industries Ltd, Sector: Diversified, Industry: Diversified - Medium / Small,
Company Name: Pan India Corporation Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Diligent Media Corporation Ltd, Sector: Media - Print/Television/Radio, Industry: Entertainment / Electronic Media Software,
Company Name: BLS Infotech Ltd, Sector: Trading, Industry: Trading,
Company Name: Popular Foundations Ltd, Sector: Construction, Industry: Construction,
Company Name: Victoria Mills Ltd, Sector: Realty, Industry: Construction,
Company Name: Simplex Realty Ltd, Sector: Realty, Industry: Construction,
Company Name: Ram Info Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Kalyan Capitals Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Universal Starch Chem Allied Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Jindal Hotels Ltd, Sector: Hotels & Restaurants, Industry: Hotels,
Company Name: Kontor Space Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Mask Investments Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: Madhucon Projects Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Manglam Infra & Engineering Ltd, Sector: Miscellaneous, Industry: Miscellaneous,
Company Name: Modipon Ltd, Sector: Realty, Industry: Construction,
Company Name: Uma Converter Ltd, Sector: Packaging, Industry: Packaging,
Company Name: ICDS Ltd, Sector: Realty, Industry: Miscellaneous,
Company Name: Mewar Hi-Tech Engineering Ltd, Sector: Engineering, Industry: Engineering,
Company Name: Popees Care Ltd, Sector: Retail, Industry: Trading,
Company Name: Milton Industries Ltd, Sector: Plywood Boards/Laminates, Industry: Miscellaneous,
Company Name: Winny Immigration & Education Services Ltd, Sector: Education, Industry: Miscellaneous,
Company Name: Orient Beverages Ltd, Sector: FMCG, Industry: Food - Processing - Indian,
Company Name: Deem Roll-Tech Ltd, Sector: Castings, Forgings & Fastners, Industry: Castings & Forgings,
Company Name: Fervent Synergies Ltd, Sector: Trading, Industry: Trading,
Company Name: Cranes Software International Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Punjab Communications Ltd, Sector: Telecomm Equipment & Infra Services, Industry: Telecommunications - Equipment,
Company Name: Medi Caps Ltd, Sector: Realty, Industry: Construction,
Company Name: Jagan Lamps Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Rachana Infrastructure Ltd, Sector: Infrastructure Developers & Operators, Industry: Construction,
Company Name: Contil India Ltd, Sector: Trading, Industry: Trading,
Company Name: Pritish Nandy Communications Ltd, Sector: Entertainment, Industry: Entertainment / Electronic Media Software,
Company Name: Aik Pipes & Polymers Ltd, Sector: Plastic products, Industry: Plastics Products,
Company Name: Pressure Sensitive Systems (India) Ltd, Sector: Packaging, Industry: Packaging,
Company Name: Supreme Engineering Ltd, Sector: Steel, Industry: Steel - Medium / Small,
Company Name: Deccan Health Care Ltd, Sector: Healthcare, Industry: Food - Processing - Indian,
Company Name: Telogica Ltd, Sector: Trading, Industry: Trading,
Company Name: IFL Enterprises Ltd, Sector: Retail, Industry: Trading,
Company Name: NRB Industrial Bearings Ltd, Sector: Bearings, Industry: Bearings,
Company Name: Gini Silk Mills Ltd, Sector: Textiles, Industry: Textiles - Processing,
Company Name: Precision Metaliks Ltd, Sector: Auto Ancillaries, Industry: Auto Ancillaries,
Company Name: Morarka Finance Ltd, Sector: Finance, Industry: Finance & Investments,
Company Name: GTN Industries Ltd, Sector: Textiles, Industry: Textiles - Cotton/Blended,
Company Name: Rolta India Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Prabhhans Industries Ltd, Sector: Trading, Industry: Trading,
Company Name: Starcom Information Technology Ltd, Sector: IT - Software, Industry: Computers - Software - Medium / Small,
Company Name: Grovy India Ltd, Sector: Realty, Industry: Construction,
