BSE Symbol,NSE Symbol,Company Name          ,AUDITED,,,,,,,,,,LATEST QTR.,,,YEAR TO DATE,,,,,SHAREHOLDINGS,,,,MARKET RELATED DATA,,,,,Sector,*You will find NULL at many places. This for those companies that have announced their FY24 results and do not have YTD Sales or Net Profit. It is reflected in yearly numbers.
,,,Face,Month/,CEqt.,BkVal,Sales,NP,EPS,Div,D/E,RONW,LatQ,Sales,NP,Year/,Sales,Sales,NP,NP,Prom,. Pledged,Inst.,NoShold,Mkt.Cap.,Price,52 Week,Entprise,Trail.P/E,,
,,,Value,Year,Rs.Cr,Rs.,Rs.Cr.,Rs.Cr.,(Rs.),(Rs.),Ratio,(%),Year,Rs.Cr.,Rs.Cr,Month,Rs.Cr.,Growth,Rs.Cr.,Growth,(%),(%),(%),('000),Rs.Cr.,Rs.,H/L,Value,Ratio,,
,,,,,,,,,,,,,,,,,,,,,,,,,As on Date 6th Feb 2025,,,,,,
505200,EICHERMOT,Eicher Motors Ltd.,1,2403,27.38,603.02,16535.78,3553.29,136.94,51,0.01,26.36,2409,4263.07,986.58,2409H,8436.72,7.72,2097.9,13.25,49.09,0,41.62,27.41,148578.42,5349.25,5551.75/3675.00,148644.13,47.56,Automobile Two & Three Wheelers,
540719,SBILIFE,SBI Life Insurance Company Ltd.,10,2403,1001.47,165.63,80587.1,1893.78,18.91,2.7,0,13.77,2412,24827.54,550.82,2412N,60199.12,8.52,1599.76,47.72,55.38,0,40.39,100.21,147226.91,1465.35,1935.00/1307.00,145050.04,60.89,Insurance,
500331,PIDILITIND,Pidilite Industries Ltd.,1,2403,50.86,180.3,12382.99,1751.47,35.38,16,0,23.38,2412,3368.91,557.53,2412N,9221.84,7.5,1628.07,12.66,69.6,0,20.93,50.86,146942.76,2900.9,3414.40/2553.95,146714.88,74.43,Chemicals,
532810,PFC,Power Finance Corporation Ltd.,10,2403,3300.1,260.37,91096.72,26461.36,43.54,13.5,5.14,19.49,2409,25721.79,7214.9,2409H,25116.67,14.55,8088.32,18,55.99,0,35.16,330.01,136112.7,405.55,580.35/351.85,256199.31,10.95,Finance Term Lending,
540777,HDFCLIFE,HDFC Life Insurance Company Ltd.,10,2403,2150.94,73.28,62112.05,1574.08,7.29,2,0.07,11.55,2412,16831.84,421.31,2412N,45850.58,10.56,1325.58,14.55,50.32,0,38.87,215.28,135023.79,632,760.95/511.10,136388.9,78.28,Insurance,
500440,HINDALCO,Hindalco Industries Ltd.,1,2403,222,303.02,215962,10153,16.65,3.5,0.19,6.03,2409,58203,3909,2409H,44417,9.46,3362,132.34,34.64,0,52.86,224.72,134934.72,596.85,772.00/496.80,145105.72,27.75,Metal - Non Ferrous,
500425,AMBUJACEM,Ambuja Cements Ltd.,2,2403,439.54,193.59,33159.64,4715.11,10.62,2,0,8.09,2412,9328.56,2617.14,2412N,13772.21,4.82,2829.34,56.98,67.57,0,25.76,246.31,128451.88,513.8,706.85/452.90,123539.12,36.94,Cement & Construction Materials,
500490,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,10,2403,111.29,1846.89,1648.69,1409.61,260.26,131,0,16.79,2412,126.33,87.71,2412N,1374.75,-26.22,1201.11,-29.02,51.46,0,17.77,11.13,126506.22,11390.4,13221.50/7667.15,125738.92,52.7,Finance - NBFC,
543287,LODHA,Macrotech Developers Ltd.,10,2403,994.5,178.35,10316.1,1567.1,11.7,2.25,0.52,8.18,2412,4083,944.5,2412N,8831.2,48.84,1415.5,126.63,71.98,0,27.09,99.69,126495.98,1198.4,1648.00/978.00,133018.77,61.03,Construction - Real Estate,
532343,TVSMOTOR,TVS Motor Company Ltd.,1,2403,47.51,199.87,39144.74,1822.01,43.84,8,0.2,30.23,2412,11134.63,630.55,2412N,26700.88,13.1,1858.42,16.33,50.27,0,41.21,47.51,124064.25,2596.8,2958.15/1873.05,124478.21,52.64,Automobile Two & Three Wheelers,
500002,ABB,ABB India Ltd.,2,2312,42.38,320.05,7610.48,140.94,58.9,29.3,0,22.94,2409,2097.85,145.67,2409N,8823.38,14.75,1343.23,48.69,75,0,17.53,21.19,121902.41,5681.3,9200.00/4365.00,116893.12,89.66,Electric Equipment,
500825,BRITANNIA,Britannia Industries Ltd.,1,2403,24.09,115.15,16769.27,2137.41,86.43,73.5,0.58,62.07,2409,4667.57,534.95,2409H,8595.28,5.34,1016.49,0.29,50.55,0,33.91,24.09,118780.59,4968.15,6473.10/4643.30,121414.85,77.38,Consumer Food,
532155,GAIL,GAIL (India) Ltd.,10,2403,6575.1,113.09,133499.54,8220.73,13.44,0,0.26,14.75,2412,36937.05,3690.89,2412N,101580.11,3.33,9263.29,39.1,51.9,0,41.26,657.51,118023.04,178.5,246.35/163.35,131318.59,10.26,Industrial  Gases & Fuels,
500400,TATAPOWER,Tata Power Company Ltd.,1,2403,319.56,56.15,61448.9,3102.53,6.98,2,1.24,15.13,2412,15391.06,1001.36,2412N,16394.56,8.34,2723.57,96.83,46.86,0,25.49,319.53,117013.34,365.4,494.85/338.50,133799.57,32.71,Power Generation/Distribution,
511243,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,2,2403,168.06,266.99,19139.62,3410.74,40.73,2,6.93,20.36,2412,6732.98,1087.14,2412N,18720.52,39.45,2991.81,26.52,49.93,0,43.53,84.08,116609.7,1381.95,1650.00/1011.50,228937.96,28.69,Finance - NBFC,
500850,INDHOTEL,The Indian Hotels Company Ltd.,1,2403,142.34,76.25,6768.75,1201.59,7.69,1.75,0,11.54,2412,2533.05,613.82,2412N,3440.21,12.28,932.03,28.41,38.12,0,46.34,142.34,116088.02,791.5,894.15/504.55,114889.71,86.59,"Hotel, Resort & Restaurants",
